run_id,tag,round,client,epoch,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,0,1,8e-05,0.6,1,5242,4.33297043754941,11.748966188275359,4.099446201324463,17.16
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,0,2,8e-05,0.6,1,5242,3.6367091110774448,36.071641791044776,3.4325549006462097,31.12
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,0,3,8e-05,0.6,1,5242,3.0646880808330716,48.167164179104475,2.9729817509651184,39.92
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,0,4,8e-05,0.6,1,5242,2.568816764014108,59.23582089552239,2.677702212333679,46.46
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,0,5,8e-05,0.6,1,5242,2.1577532575243996,67.2,2.4410531640052797,51.74
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,1,1,8e-05,0.6,1,5242,4.331514835357666,12.247628314278764,4.092506194114685,19.74
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,1,2,8e-05,0.6,1,5242,3.6314012663705006,36.680597014925375,3.4450044989585877,30.76
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,1,3,8e-05,0.6,1,5242,3.05250460760934,48.0,2.993244242668152,38.36
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,1,4,8e-05,0.6,1,5242,2.544430687313988,57.21791044776119,2.670649492740631,43.64
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,1,5,8e-05,0.6,1,5242,2.118990483738127,65.26567164179104,2.4048714518547056,49.98
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,2,1,0.0001,0.6,1,5242,4.259269668942406,15.434200924349307,3.9452484369277956,19.08
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,2,2,0.0001,0.6,1,5242,3.4685597192673456,36.31044776119403,3.2401219487190245,32.8
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,2,3,0.0001,0.6,1,5242,2.805983055205572,51.28358208955224,2.7378994703292845,43.78
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,2,4,0.0001,0.6,1,5242,2.266816718237741,63.02089552238806,2.419291317462921,51.62
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,2,5,0.0001,0.6,1,5242,1.8125024750119163,72.4776119402985,2.166146624088287,55.5
20260322-171353,full_s42_lmss_openrouter_epochs5_pat2,0,3,1,0.0001,0.6,1,5242,4.24162144888015,14.19362685477986,3.9401506900787355,18.4
