round,client,epoch,train_loss,train_acc,val_loss,val_acc
3,0,6,0.1054,99.67,1.2655,67.42
3,1,1,0.9012,78.08,1.0788,71.52
3,1,2,0.6143,86.94,1.1919,68.16
3,1,3,0.3676,94.54,1.2372,66.94
3,1,4,0.2369,97.47,1.2734,66.7
3,1,5,0.1573,99.27,1.2889,66.6
3,1,6,0.1045,99.87,1.3046,66.04
3,2,1,0.8878,77.55,1.0869,71.22
3,2,2,0.6183,86.48,1.1869,68.18
3,2,3,0.3647,95.0,1.2362,67.52
3,2,4,0.219,98.07,1.255,67.02
3,2,5,0.1459,99.33,1.2602,67.34
3,2,6,0.1024,99.53,1.2644,67.26
3,3,1,0.8622,77.88,1.0876,71.22
3,3,2,0.6136,86.74,1.1708,68.68
3,3,3,0.3472,95.54,1.2078,67.9
3,3,4,0.1984,98.33,1.2406,67.68
3,3,5,0.137,99.67,1.2604,67.78
3,3,6,0.0858,100.0,1.2489,68.26
4,0,1,0.8663,78.15,1.0235,72.88
4,0,2,0.5762,87.08,1.1054,69.46
4,0,3,0.3371,94.34,1.1522,68.48
4,0,4,0.2065,97.6,1.1926,67.88
4,0,5,0.1353,99.27,1.2299,67.58
4,0,6,0.0956,99.53,1.248,67.34
4,1,1,0.8835,77.42,1.0281,72.98
4,1,2,0.6268,85.41,1.1383,68.94
4,1,3,0.3867,94.2,1.1655,68.32
4,1,4,0.2226,98.13,1.1954,68.26
4,1,5,0.1419,99.4,1.2263,67.74
4,1,6,0.0934,99.8,1.2333,67.38
4,2,1,0.8805,77.08,1.0475,72.26
4,2,2,0.5931,87.34,1.1462,68.62
4,2,3,0.3602,94.27,1.1598,68.28
4,2,4,0.2217,98.0,1.1996,67.78
4,2,5,0.1486,98.8,1.2332,67.7
4,2,6,0.094,99.73,1.246,67.2
4,3,1,0.8409,78.55,1.0495,72.52
4,3,2,0.5697,87.41,1.131,69.92
4,3,3,0.3438,94.87,1.1771,69.04
4,3,4,0.2083,98.07,1.1813,69.48
4,3,5,0.1307,99.13,1.2265,68.64
4,3,6,0.0969,99.73,1.2359,68.44
5,0,1,0.764,80.55,1.016,72.4
5,0,2,0.5172,88.81,1.0752,69.98
5,0,3,0.2954,95.4,1.1275,69.32
5,0,4,0.1821,98.8,1.1746,68.58
5,0,5,0.1208,99.13,1.1917,68.28
5,0,6,0.0806,99.87,1.189,69.0
5,1,1,0.8164,80.55,0.9982,73.06
5,1,2,0.5582,87.54,1.0602,71.6
5,1,3,0.3382,94.6,1.0998,70.48
5,1,4,0.1984,97.87,1.1119,70.62
5,1,5,0.1299,99.0,1.1337,69.62
5,1,6,0.0874,99.67,1.139,70.04
5,2,1,0.8264,78.48,1.0302,72.16
5,2,2,0.5378,87.87,1.1344,68.96
5,2,3,0.3429,94.0,1.2066,67.58
5,2,4,0.2146,97.53,1.1791,69.16
5,2,5,0.1256,99.53,1.1779,68.98
5,2,6,0.085,99.87,1.1762,70.12
5,3,1,0.8016,78.35,1.0298,72.4
5,3,2,0.5268,87.74,1.1242,69.54
5,3,3,0.3055,95.54,1.1569,68.02
5,3,4,0.1823,98.53,1.1639,68.86
5,3,5,0.1175,99.47,1.1471,69.74
5,3,6,0.0823,99.8,1.1599,69.66
6,0,1,0.7665,80.92,0.9938,73.02
6,0,2,0.5154,88.9,1.0818,70.84
6,0,3,0.2952,95.55,1.1188,69.48
6,0,4,0.1734,98.07,1.1382,69.16
6,0,5,0.1054,99.53,1.1473,69.18
6,0,6,0.0747,99.8,1.1316,69.74
6,1,1,0.8444,77.06,0.9698,73.8
6,1,2,0.5476,87.9,1.0987,69.46
6,1,3,0.3304,94.22,1.0955,69.98
6,1,4,0.1898,98.01,1.1269,69.62
6,1,5,0.1258,99.07,1.1423,69.26
6,1,6,0.0885,99.87,1.1213,69.78
6,2,1,0.7494,80.85,0.9591,74.48
6,2,2,0.5116,88.76,1.046,71.84
6,2,3,0.2897,95.35,1.0728,71.94
6,2,4,0.1915,98.14,1.0942,70.78
6,2,5,0.1159,99.2,1.0963,70.72
6,2,6,0.0807,99.67,1.0922,71.82
6,3,1,0.7924,78.66,0.9686,73.78
6,3,2,0.5254,87.77,1.051,71.36
6,3,3,0.3129,94.48,1.0822,70.8
6,3,4,0.1623,98.8,1.1221,70.26
6,3,5,0.1034,99.4,1.1404,69.98
6,3,6,0.0719,99.93,1.1507,70.24
