run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20260222-144012,full_s44_v4_epochs5_pat2,0,0.5899,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",2.2207422298431396,3.9388319798660274,0.0012000001734122634,0.12000001966953278,0.0034868186842517144,0.5899,False,359289984,359289984,0.5899
20260222-144012,full_s44_v4_epochs5_pat2,1,0.6088,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",1.9730198133468628,3.349088329910278,0.022099997848272324,0.24000000953674316,0.005907954408308639,0.6088,False,359289984,718579968,0.59935
20260222-144012,full_s44_v4_epochs5_pat2,2,0.6176,0.00013500000000000003,0.45,"policy_v4 | replay↓ (forget low) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.866821208190918,2.9044081933944694,0.03449999913573265,0.3100000023841858,0.4949915931302613,0.6176,False,359289984,1077869952,0.6054333333333334
20260222-144012,full_s44_v4_epochs5_pat2,3,0.6316,0.00018225000000000004,0.55,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.7405309959411621,2.555245034158477,0.044199999421834946,0.3400000035762787,0.47029634611229815,0.6316,False,359289984,1437159936,0.611975
20260222-144012,full_s44_v4_epochs5_pat2,4,0.6467,0.00024603750000000006,0.65,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.6327102573394776,2.278484601112777,0.04909999668598175,0.429999977350235,0.42890997285174776,0.6467,False,359289984,1796449920,0.61892
20260222-144012,full_s44_v4_epochs5_pat2,5,0.6576,0.00033215062500000013,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.5441213232040405,2.0581756177401562,0.05849999561905861,0.6200000047683716,0.4134946827507385,0.6576,False,359289984,2155739904,0.6253666666666667
20260222-144012,full_s44_v4_epochs5_pat2,6,0.6789,0.0004484033437500002,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.4277991340637206,1.8690626726372255,0.0551999993622303,0.3699999749660492,0.35802654025938935,0.6789,False,359289984,2515029888,0.6330142857142856
