lambda,round,global_acc,forget_mean,aulc_running,beta_hat,accuracy_pp,forgetting_pp,aulc_pp,source_file,accuracy_rank,forgetting_rank,aulc_rank,stage0_alpha01_beta_hat
0.75,3,0.4526,0.0156999994069337,0.355075,0.6217276913025126,45.26,1.56999994069337,35.5075,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,4.0,1.0,4.0,0.6149790053437659
1.0,3,0.4474,0.0157000012695789,0.354,0.6315352496714174,44.74,1.5700001269578898,35.4,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,5.0,2.0,5.0,0.6149790053437659
0.0,4,0.4881,0.034400001168251,0.39408,0.6218104137157655,48.809999999999995,3.4400001168251,39.408,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,5.0,1.0,0.6218104137157655
0.25,4,0.4855,0.0317999981343746,0.39054,0.6225560609125634,48.55,3.1799998134374596,39.054,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv,2.0,4.0,2.0,0.6218104137157655
0.5,4,0.4819,0.0283000022172927,0.3858999999999999,0.6230121563542464,48.19,2.8300002217292697,38.58999999999999,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv,3.0,3.0,3.0,0.6218104137157655
0.75,4,0.4728,0.0255999993532896,0.37862,0.6244103632558687,47.28,2.55999993532896,37.862,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,4.0,2.0,4.0,0.6218104137157655
1.0,4,0.4687,0.0208999998867511,0.37694,0.6204364801825091,46.87,2.08999998867511,37.694,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,5.0,1.0,5.0,0.6218104137157655
0.0,5,0.5018,0.0418000034987926,0.4120333333333333,0.6318159652144473,50.18,4.18000034987926,41.20333333333333,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,5.0,1.0,0.6318159652144473
0.25,5,0.5017,0.0374999977648258,0.4090666666666667,0.6315586254148268,50.17,3.74999977648258,40.906666666666666,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv,2.0,4.0,2.0,0.6318159652144473
0.5,5,0.4995,0.0357000008225441,0.4048333333333333,0.6303595394576772,49.95,3.57000008225441,40.483333333333334,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv,3.0,3.0,3.0,0.6318159652144473
0.75,5,0.4947,0.0300999991595745,0.3979666666666666,0.630187027214318,49.47,3.00999991595745,39.79666666666666,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,4.0,2.0,4.0,0.6318159652144473
1.0,5,0.4892,0.0231000017374753,0.39565,0.6274362242057075,48.92,2.31000017374753,39.565,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,5.0,1.0,5.0,0.6318159652144473
0.0,6,0.528,0.0379000008106231,0.4286,0.6373776375991671,52.800000000000004,3.79000008106231,42.86,experiments/results/cifar100/lmss_geo/stage0_measurement/dirichlet_a01/seed42/fcl_run_summary_20260816-102722_full_s42_fixed_epochs5_pat2_dirichlet_a01_measure.csv,1.0,5.0,1.0,0.6373776375991671
0.25,6,0.5264,0.0355000011622905,0.4258285714285715,0.6356281465653474,52.64,3.5500001162290498,42.58285714285715,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda025/seed42/fcl_run_summary_20260823-135927_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda025.csv,2.0,4.0,2.0,0.6373776375991671
0.5,6,0.5249,0.033900000154972,0.4219857142857143,0.6344054605571854,52.49,3.3900000154972,42.19857142857143,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv,3.0,3.0,3.0,0.6373776375991671
0.75,6,0.5196,0.0294000003486871,0.4153428571428571,0.6334787666982793,51.959999999999994,2.94000003486871,41.534285714285716,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv,4.0,2.0,4.0,0.6373776375991671
1.0,6,0.5064,0.0265999976545572,0.4114714285714286,0.6060724283048671,50.63999999999999,2.65999976545572,41.14714285714286,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv,5.0,1.0,5.0,0.6373776375991671
