run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20251226-131852,full_s42_v4_epochs5_pat2,0,0.5862,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",2.222904178237915,3.936558377342224,0.0,0.0,0.0013399096361331397,0.5862,False,359289984,359289984,0.5862
20251226-131852,full_s42_v4_epochs5_pat2,1,0.6103,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",1.9398603088378907,3.337548956790924,0.026100002229213715,0.3399999737739563,0.10886496478289372,0.6103,False,359289984,718579968,0.59825
20251226-131852,full_s42_v4_epochs5_pat2,2,0.6272,0.00013500000000000003,0.6,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.7957334615707397,2.8750043082248684,0.04190000146627426,0.429999977350235,0.14657674166405213,0.6272,False,359289984,1077869952,0.6079
20251226-131852,full_s42_v4_epochs5_pat2,3,0.642,0.00018225000000000004,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.662615690612793,2.511287722941246,0.04890000447630882,0.3399999737739563,0.31481801706304957,0.642,False,359289984,1437159936,0.616425
20251226-131852,full_s42_v4_epochs5_pat2,4,0.6622,0.00024603750000000006,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.5384760272979736,2.219444214248264,0.05539999529719353,0.45000001788139343,0.12876951444335183,0.6622,False,359289984,1796449920,0.62558
20251226-131852,full_s42_v4_epochs5_pat2,5,0.6847,0.00033215062500000013,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.4183740480422973,1.9791231643864742,0.05010000243782997,0.25999996066093445,0.384622058458763,0.6847,False,359289984,2155739904,0.6354333333333334
20251226-131852,full_s42_v4_epochs5_pat2,6,0.6936,0.0004484033437500002,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.333646118927002,1.7854800507486324,0.053199995309114456,0.2799999713897705,0.44215761830441747,0.6936,False,359289984,2515029888,0.6437428571428573
