run_id,tag,round,global_acc,lr,replay_ratio
20251014-181742,controller,0,0.6834,0.0001,0.5
20251014-181742,controller,1,0.6731,0.0005,0.3
20251014-181742,controller,2,0.6951,0.0005,0.3
20251014-181742,controller,3,0.7141,0.0005,0.3
20251014-181742,controller,4,0.7275,0.0005,0.35
20251014-181742,controller,5,0.7405,0.0005,0.4
20251014-181742,controller,6,0.7378,0.0005,0.45
