run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,0,0.5936,0.0001,0.5,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_1,2.2153434051513674,3.9344485202026362,0.0,0.0,0.002482546094037366,0.5936,False,359289984,359289984,0.5936
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,1,0.6089,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.9223424644470215,3.3308167034759517,0.026000000536441803,0.21999996900558472,0.14550399636582886,0.6089,False,359289984,718579968,0.6012500000000001
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,2,0.637,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.7151449062347413,2.8461151643035887,0.03229999914765358,0.5400000214576721,0.008669396574748347,0.637,False,359289984,1077869952,0.6131666666666667
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,3,0.6526,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.6125977487564087,2.4760599396394345,0.04230000451207161,0.3400000035762787,0.006575163833837323,0.6526,False,359289984,1437159936,0.623025
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,4,0.6721,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.4936040466308593,2.181323171736862,0.04050000011920929,0.2800000309944153,0.010005805713739846,0.6721,False,359289984,1796449920,0.6328400000000001
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,5,0.6851,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.3807257234573365,1.9411439372530044,0.04489999637007713,0.4300000071525574,0.010346044823456855,0.6851,False,359289984,2155739904,0.6415500000000001
20260322-175815,full_s43_lmss_openrouter_epochs5_pat2,6,0.6925,0.00015,0.7,LMSS_OPENROUTER_openai/gpt-4o-mini_STRAT_2,1.3232605318069457,1.7557789156191865,0.04909999668598175,0.39000001549720764,0.014717847242112059,0.6925,False,359289984,2515029888,0.6488285714285714
