run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20260222-140712,full_s43_v4_epochs5_pat2,0,0.5936,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",2.2153434051513674,3.9344485202026362,0.0,0.0,0.002482546094037366,0.5936,False,359289984,359289984,0.5936
20260222-140712,full_s43_v4_epochs5_pat2,1,0.6084,0.0001,0.5,"warmup (fixed defaults) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70]) | warmup: lr_scale forced to 1.0",1.9830565309524537,3.3490309234275815,0.021399999037384987,0.2600000202655792,0.002718198182983007,0.6084,False,359289984,718579968,0.601
20260222-140712,full_s43_v4_epochs5_pat2,2,0.6246,0.00013500000000000003,0.45,"policy_v4 | replay↓ (forget low) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.773677178955078,2.87642480008583,0.03849999979138374,0.6800000071525574,0.1270243013412301,0.6246,False,359289984,1077869952,0.6088666666666667
20260222-140712,full_s43_v4_epochs5_pat2,3,0.6484,0.00018225000000000004,0.55,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.640034209060669,2.5055076227782815,0.0495000034570694,0.6299999952316284,0.1297080884776266,0.6484,False,359289984,1437159936,0.61875
20260222-140712,full_s43_v4_epochs5_pat2,4,0.6634,0.00024603750000000006,0.65,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.5368433959960937,2.214908354743625,0.0510999970138073,0.4300000071525574,0.2720225309325747,0.6634,False,359289984,1796449920,0.62768
20260222-140712,full_s43_v4_epochs5_pat2,5,0.6752,0.00033215062500000013,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.4533077354431152,1.986428168953472,0.0551999993622303,0.2900000214576721,0.3553672125837915,0.6752,False,359289984,2155739904,0.6356
20260222-140712,full_s43_v4_epochs5_pat2,6,0.6663,0.0004484033437500002,0.7,"policy_v4 | replay↑ (forget/div high) | lr↑ (loss high & improving) | clamped(lr∈[0.0001,0.002], rep∈[0.20,0.70])",1.4486865741729735,1.8251056905193224,0.07320000231266022,0.4000000059604645,0.14117814763313027,0.6752,False,359289984,2515029888,0.6399857142857143
