run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20251226-123512,full_s42_fixed_epochs5_pat2,0,0.5862,0.0001,0.5,fixed (paper CL default),2.222904178237915,3.936558377342224,0.0,0.0,0.0013399096361331397,0.5862,False,359289984,359289984,0.5862
20251226-123512,full_s42_fixed_epochs5_pat2,1,0.6103,0.0001,0.5,fixed (paper CL default),1.9398603088378907,3.337548956790924,0.026100002229213715,0.3399999737739563,0.10886496478289372,0.6103,False,359289984,718579968,0.59825
20251226-123512,full_s42_fixed_epochs5_pat2,2,0.6284,0.0001,0.5,fixed (paper CL default),1.804577396965027,2.8776574888431545,0.03750000149011612,0.47999995946884155,0.1339360206577854,0.6284,False,359289984,1077869952,0.6083
20251226-123512,full_s42_fixed_epochs5_pat2,3,0.6426,0.0001,0.5,fixed (paper CL default),1.6723882007598876,2.5160767024181743,0.043299999088048935,0.429999977350235,0.011007899284108821,0.6426,False,359289984,1437159936,0.616875
20251226-123512,full_s42_fixed_epochs5_pat2,4,0.6556,0.0001,0.5,fixed (paper CL default),1.5940276121139527,2.2394619753269076,0.04820000007748604,0.31999996304512024,0.013330762622114743,0.6556,False,359289984,1796449920,0.62462
20251226-123512,full_s42_fixed_epochs5_pat2,5,0.6736,0.0001,0.5,fixed (paper CL default),1.496188145828247,2.016479826477309,0.043299999088048935,0.3799999952316284,0.01671148188532312,0.6736,False,359289984,2155739904,0.6327833333333334
20251226-123512,full_s42_fixed_epochs5_pat2,6,0.6842,0.0001,0.5,fixed (paper CL default),1.4198773706436156,1.837499089727201,0.04399999976158142,0.26999998092651367,0.01007540644918567,0.6842,False,359289984,2515029888,0.6401285714285715
