run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running,protected_basis_exists,protected_basis_rank,protected_basis_rank_by_layer,protected_basis_rank_after_update,protected_orthonormality_error,protected_orthonormality_error_by_layer,gradient_energy_inside,gradient_energy_outside,beta_hat,rho_hat,basis_construction_seconds,measurement_overhead_seconds,gradient_measurement_count
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,0,0.351,0.0001,0.5,fixed (paper CL default),3.286609108734131,4.255669856491089,0.003700000001117587,0.3499999940395355,0.02663017791305179,0.351,False,359289984,359289984,0.351,False,0,{},64,0.0,{},0.0,0.0,,,0.21435576499993658,10.898316220999845,0
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,1,0.4857,0.0001,0.5,fixed (paper CL default),2.682500163269043,3.783718948524475,0.016599999740719795,0.29999998211860657,0.09878501328651723,0.4857,False,359289984,718579968,0.41835,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",363.5456059924327,198.47801262373105,0.6468511179077635,0.5942633104039275,0.009505622999995467,59.451706899998726,58
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,2,0.5402,0.0001,0.5,fixed (paper CL default),2.3431730407714846,3.351555176198578,0.02589999884366989,0.30000001192092896,0.07367663462262597,0.5402,False,359289984,1077869952,0.4589666666666667,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",284.0361965545453,182.677019496914,0.6085882867375823,0.6256290540427415,0.005684573000053206,54.95055516399748,54
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,3,0.562,0.0001,0.5,fixed (paper CL default),2.2078401355743407,3.0084406640113066,0.03460000082850456,0.40000003576278687,0.0548823001973772,0.562,False,359289984,1437159936,0.484725,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",236.05087148630992,167.1718619740568,0.5854106227111102,0.6438861524282745,0.004382682000141358,54.902605101003246,54
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,4,0.5924,0.0001,0.5,fixed (paper CL default),2.0753071376800536,2.7285006061119303,0.03610000014305115,0.27000004053115845,0.04348645517815604,0.5924,False,359289984,1796449920,0.5062599999999999,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",237.39571782201529,176.37772938981652,0.5737335718898359,0.652890824035812,0.007185708000179147,54.959768192999945,54
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,5,0.6095,0.0001,0.5,fixed (paper CL default),1.9651831747055053,2.499505376690003,0.04260000213980675,0.28999999165534973,0.03031246585377209,0.6095,False,359289984,2155739904,0.5234666666666666,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",206.14741815417074,152.67760886088945,0.5745068003451107,0.6522983977098874,0.009924028999648726,54.94221774699872,54
20260815-181542,full_s42_fixed_epochs5_pat2_dirichlet_a05_measure,6,0.6231,0.0001,0.5,fixed (paper CL default),1.881910627746582,2.3142269520069765,0.04650000482797623,0.38999998569488525,0.030747471781494725,0.6231,False,359289984,2515029888,0.5377,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.3236913218861446e-06,"{""fc"": 1.3236913218861446e-06, ""layer4_1_conv2"": 1.071113388206868e-06}",197.64884549938142,141.7758105751127,0.5823055042177092,0.6462928869965132,0.0050253059998794924,54.912395111998194,54
