round,client,layer,shrinkage_factor,raw_update_energy_sum,retained_update_energy_sum,retained_energy_fraction,projected_step_count,source_file,source_sha256,derivation
2,0,layer4_1_conv2,0.9544844199152055,0.23315145727246941,0.2124104220420116,0.9110405078608663,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,0,fc,0.3619590066610007,0.0082699200138444,0.0010834779677679762,0.13101432250301837,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,1,layer4_1_conv2,0.9611061483817345,0.2203331766650075,0.2035272698849433,0.9237250284571725,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,1,fc,0.37105680456392315,0.0085992715321474,0.0011839748112831975,0.13768315221318947,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,2,layer4_1_conv2,0.9597627361679816,0.2804157575592392,0.2583034355193369,0.9211445097366506,15,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,2,fc,0.36137588030188156,0.0122185229556627,0.001595647787325291,0.13059252686395983,15,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,3,layer4_1_conv2,0.9543174488552101,0.2001590318977825,0.1822891924530261,0.9107217931895165,15,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,3,fc,0.3214722930999664,0.0120156079065048,0.0012417462130542845,0.1033444352309507,15,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
3,0,layer4_1_conv2,0.959065706314535,0.2096659736707801,0.1928522363305085,0.919807029028598,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
3,0,fc,0.36250402579036506,0.0080438333679915,0.0010570334561634809,0.13140916871422165,12,fcl_run_update_energy_steps_20260823-161257_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,d60099bd0039a1a92c9efa33b61ce02279d042ea547d0ef8313cad2799fc810e,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
