run_id,tag,raw_update_norm,raw_update_energy,projected_update_norm,projected_update_energy,removed_displacement_norm,removed_displacement_energy,removed_energy,retained_norm_fraction,retained_energy_fraction,layer,basis_rank,projection_lambda,shrinkage_factor,round,client,epoch,batch,local_optimizer_step,update_control
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09921998225971264,0.009844604879617691,0.09921998225971264,0.009844604879617691,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,11,11,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.019800319823679382,0.0003920526651199907,0.019800319823679382,0.0003920526651199907,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,11,11,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09879804688759686,0.009761054068803787,0.09879804688759686,0.009761054068803787,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,12,12,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.019530007203616136,0.00038142118137329817,0.019530007203616136,0.00038142118137329817,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,12,12,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09844735149254548,0.009691881015896797,0.09844735149254548,0.009691881015896797,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,13,13,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.019227516029427814,0.0003696973726619035,0.019227516029427814,0.0003696973726619035,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,13,13,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.0979292962454857,0.0095901470631361,0.0979292962454857,0.0095901470631361,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,14,14,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.01894918066162303,0.0003590714477468282,0.01894918066162303,0.0003590714477468282,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,14,14,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09721960200693895,0.009451651014387608,0.09721960200693895,0.009451651014387608,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,15,15,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.01864428595807738,0.0003476093988865614,0.01864428595807738,0.0003476093988865614,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,15,15,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09654085228367539,0.009320136159658432,0.09654085228367539,0.009320136159658432,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,16,16,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.01830551316689291,0.00033509181230328977,0.01830551316689291,0.00033509181230328977,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,16,16,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09551857651665614,0.009123798459768295,0.09551857651665614,0.009123798459768295,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,17,17,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.01797446167912228,0.00032308127265423536,0.01797446167912228,0.00032308127265423536,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,17,17,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09457789385572139,0.008944978006184101,0.09457789385572139,0.008944978006184101,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,18,18,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.017622358906941495,0.00031054753344506025,0.017622358906941495,0.00031054753344506025,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,18,18,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09353738756240598,0.00874924287199974,0.09353738756240598,0.00874924287199974,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,1,19,19,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.017315929876188477,0.00029984142747707665,0.017315929876188477,0.00029984142747707665,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,1,19,19,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09296520891578285,0.00864253006875515,0.09296520891578285,0.00864253006875515,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,2,1,20,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.016981943991892696,0.0002883864217437804,0.016981943991892696,0.0002883864217437804,0.0,0.0,0.0,1.0,1.0,fc,,0.0,1.0,0,0,2,1,20,shrinkage
20260823-165812,full_s42_fixed_epochs5_pat2_dirichlet_a01_normmatched_lambda075,0.09187510383366537,0.008441034704446793,0.09187510383366537,0.008441034704446793,0.0,0.0,0.0,1.0,1.0,layer4_1_conv2,,0.0,1.0,0,0,2,2,21,shrinkage
