controller,round,acc_mean,acc_std,forget_mean_mean,forget_mean_std,forget_max_mean,forget_max_std,aulc_mean,aulc_std,comm_round_mean,comm_round_std,comm_cum_mean,comm_cum_std
baseline,0,0.6129333333333333,0.00644696310935104,0.0,0.0,0.0,0.0,0.6129333333333333,0.00644696310935104,359289984.0,0.0,359289984.0,0.0
baseline,1,0.6119666666666667,0.003002221399786056,0.02616666505734123,0.005862024014780359,0.1933333377043406,0.005773488582684798,0.6124499999999999,0.003302650450774286,359289984.0,0.0,718579968.0,0.0
baseline,2,0.6105666666666667,0.0019857828011474693,0.03643333166837687,0.005553678803297458,0.2266666591167449,0.023094014552993182,0.6118222222222222,0.0026384619537680094,359289984.0,0.0,1077869952.0,0.0
baseline,3,0.6119333333333333,0.009325413306300906,0.04376666744550064,0.004921721881484238,0.2600000003973642,0.020000025629999134,0.61185,0.004058863757260096,359289984.0,0.0,1437159936.0,0.0
baseline,4,0.6166666666666667,0.015910478727346175,0.04726666957139963,0.006353999286407824,0.22000000874201453,0.026457521671453172,0.6128133333333333,0.0064107513860181,359289984.0,0.0,1796449920.0,0.0
baseline,5,0.6187666666666667,0.021073759354546386,0.051500002543131466,0.009718025155834977,0.23000000913937882,0.010000005364421699,0.6138055555555555,0.008802782598785525,359289984.0,0.0,2155739904.0,0.0
baseline,6,0.6267333333333333,0.012706428819040098,0.050166667749484334,0.003121433313015548,0.2700000007947286,0.08717798461399792,0.615652380952381,0.009358073381576236,359289984.0,0.0,2515029888.0,0.0
sft,0,0.6129333333333333,0.00644696310935104,0.0,0.0,0.0,0.0,0.6129333333333333,0.00644696310935104,359289984.0,0.0,359289984.0,0.0
sft,1,0.6119666666666667,0.003002221399786056,0.02616666505734123,0.005862024014780359,0.1933333377043406,0.005773488582684798,0.6124499999999999,0.003302650450774286,359289984.0,0.0,718579968.0,0.0
sft,2,0.6105666666666667,0.0019857828011474693,0.03643333166837687,0.005553678803297458,0.2266666591167449,0.023094014552993182,0.6118222222222222,0.0026384619537680094,359289984.0,0.0,1077869952.0,0.0
sft,3,0.6119333333333333,0.009325413306300906,0.04376666744550064,0.004921721881484238,0.2600000003973642,0.020000025629999134,0.61185,0.004058863757260096,359289984.0,0.0,1437159936.0,0.0
sft,4,0.6166666666666667,0.015910478727346175,0.04726666957139963,0.006353999286407824,0.22000000874201453,0.026457521671453172,0.6128133333333333,0.0064107513860181,359289984.0,0.0,1796449920.0,0.0
sft,5,0.6187666666666667,0.021073759354546386,0.051500002543131466,0.009718025155834977,0.23000000913937882,0.010000005364421699,0.6138055555555555,0.008802782598785525,359289984.0,0.0,2155739904.0,0.0
sft,6,0.6267333333333333,0.012706428819040098,0.050166667749484334,0.003121433313015548,0.2700000007947286,0.08717798461399792,0.615652380952381,0.009358073381576236,359289984.0,0.0,2515029888.0,0.0
v4,0,0.6187,0.005428627819255982,0.0,0.0,0.0,0.0,0.6187,0.005428627819255982,359289984.0,0.0,359289984.0,0.0
v4,1,0.6141333333333333,0.003347138081007925,0.026600000138084067,0.003966105606612478,0.1733333468437194,0.01154699437171001,0.6164166666666667,0.004279700145259431,359289984.0,0.0,718579968.0,0.0
v4,2,0.6093000000000001,0.004348562981031764,0.0395666658878326,0.003803067095986782,0.21666666368643436,0.020816667582449832,0.6140444444444445,0.004291766449757058,359289984.0,0.0,1077869952.0,0.0
v4,3,0.6092666666666666,0.009213757829101683,0.04639999816815057,0.0057026306261013845,0.22000000874201453,0.009999990463271656,0.61285,0.00542862781925605,359289984.0,0.0,1437159936.0,0.0
v4,4,0.6184,0.013008074415531338,0.04656666889786717,0.005807178687573844,0.21666666865348813,0.028867537548411717,0.6139600000000001,0.006928463033025564,359289984.0,0.0,1796449920.0,0.0
v4,5,0.6171000000000001,0.008926925562588756,0.05879999821384743,0.00891683810628973,0.2700000206629435,0.052915020814467036,0.6144833333333334,0.007167189903380011,359289984.0,0.0,2155739904.0,0.0
v4,6,0.6162,0.008465813605318713,0.06706666449705753,0.010027127079611824,0.30999998251597083,0.0360555031664624,0.6147285714285715,0.00714915436700496,359289984.0,0.0,2515029888.0,0.0
