run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running,protected_basis_exists,protected_basis_rank,protected_basis_rank_by_layer,protected_basis_rank_after_update,protected_orthonormality_error,protected_orthonormality_error_by_layer,gradient_energy_inside,gradient_energy_outside,beta_hat,rho_hat,basis_construction_seconds,measurement_overhead_seconds,gradient_measurement_count
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,0,0.2352,0.0001,0.5,fixed (paper CL default),3.833012052154541,4.419590739517211,0.007499999832361937,0.3700000047683716,0.034537957291448484,0.2352,False,359289984,359289984,0.2352,False,0,{},64,0.0,{},0.0,0.0,,,0.21777998300012769,10.390834956003118,0
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,1,0.3372,0.0001,0.5,fixed (paper CL default),3.248329781341553,4.068212452064514,0.010599999688565731,0.19999998807907104,0.17980374102499996,0.3372,False,359289984,718579968,0.2862,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",875.8176140189171,386.93261817097664,0.6935794519713143,0.5535526605741182,0.005960078000043723,66.36314242799608,68
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,2,0.3962,0.0001,0.5,fixed (paper CL default),2.94420016746521,3.7310087666847225,0.011900000274181366,0.1899999976158142,0.09104726400197677,0.3962,False,359289984,1077869952,0.3228666666666667,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",657.8395685777068,334.6123198121786,0.6628427798600484,0.5806524090537734,0.0050519380001787795,52.75614243000064,54
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,3,0.4474,0.0001,0.5,fixed (paper CL default),2.8050657112121584,3.453225850042953,0.015700001269578934,0.24000000953674316,0.08971003123796485,0.4474,False,359289984,1437159936,0.35400000000000004,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",589.4546493757516,343.91312333755195,0.6315352496714174,0.6070129737728688,0.0060845430002700596,52.75218665899638,54
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,4,0.4687,0.0001,0.5,fixed (paper CL default),2.722350212478638,3.2339631587736584,0.020899999886751175,0.3500000238418579,0.09579364186828908,0.4687,False,359289984,1796449920,0.37694,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",544.6299872552045,333.187492295634,0.6204364801825091,0.6160872663977806,0.00684919000013906,52.78461359200219,54
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,5,0.4892,0.0001,0.5,fixed (paper CL default),2.5895894027709963,3.0406510319728595,0.023100001737475395,0.2900000214576721,0.08929759836672325,0.4892,False,359289984,2155739904,0.39565,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",570.785384981893,338.9252166086808,0.6274362242057075,0.6103800257170047,0.00726485799987131,52.791831546996946,54
20260823-114444,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1,6,0.5064,0.0001,0.5,fixed (paper CL default),2.5146635417938232,2.8828547849191484,0.026599997654557228,0.2399999499320984,0.09211500707022077,0.5064,False,359289984,2515029888,0.4114714285714286,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.8035005950878258e-06,"{""fc"": 1.8035005950878258e-06, ""layer4_1_conv2"": 1.2021965858366457e-06}",488.433070410043,317.4657753370702,0.6060724283048671,0.6276364964652165,0.006582156000149553,52.91052282899818,54
