run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running,protected_basis_exists,protected_basis_rank,protected_basis_rank_by_layer,protected_basis_rank_after_update,protected_orthonormality_error,protected_orthonormality_error_by_layer,gradient_energy_inside,gradient_energy_outside,beta_hat,rho_hat,basis_construction_seconds,measurement_overhead_seconds,gradient_measurement_count
20260815-162434,full_s42_fixed_epochs5_pat2_measure,0,0.5857,0.0001,0.5,fixed (paper CL default),2.223560685348511,3.9367553294754027,0.0,0.0,0.0013644297590540504,0.5857,False,359289984,359289984,0.5857,False,0,{},64,0.0,{},0.0,0.0,,,0.21861481499990987,10.731871700000283,0
20260815-162434,full_s42_fixed_epochs5_pat2_measure,1,0.6102,0.0001,0.5,fixed (paper CL default),1.9508122970581054,3.3409724197502135,0.024000000208616257,0.3400000333786011,0.14677272713522008,0.6102,False,359289984,718579968,0.59795,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",55.581064267549664,56.76719663431868,0.4947211805627946,0.7108296697783489,0.009636551999847143,63.16383758300003,56
20260815-162434,full_s42_fixed_epochs5_pat2_measure,2,0.6279,0.0001,0.5,fixed (paper CL default),1.8225026273727416,2.8854314820369718,0.030899999663233757,0.32999998331069946,0.003484666412770324,0.6279,False,359289984,1077869952,0.6079333333333333,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",47.42746110167354,47.491435141302645,0.4996630068291864,0.7073450312052832,0.00513936500010459,53.34970604699947,48
20260815-162434,full_s42_fixed_epochs5_pat2_measure,3,0.6388,0.0001,0.5,fixed (paper CL default),1.7080933277130126,2.532230035739784,0.04110000655055046,0.26999998092651367,0.0074449090384476665,0.6388,False,359289984,1437159936,0.61565,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",40.362103601684794,42.4504509663675,0.4873911185593994,0.7159670952219722,0.007711717999882239,53.297527106001326,48
20260815-162434,full_s42_fixed_epochs5_pat2_measure,4,0.6558,0.0001,0.5,fixed (paper CL default),1.6073982620239258,2.2547805036250264,0.04609999805688858,0.5099999904632568,0.005251894933513623,0.6558,False,359289984,1796449920,0.62368,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",38.69077300163917,39.30608824384399,0.4960555127964112,0.7098904754985632,0.006850406000012299,53.601295959999334,48
20260815-162434,full_s42_fixed_epochs5_pat2_measure,5,0.6724,0.0001,0.5,fixed (paper CL default),1.5063089208602904,2.0302390287956054,0.04280000180006027,0.26999998092651367,0.1350343758470461,0.6724,False,359289984,2155739904,0.6318,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",38.03930069459602,38.90471402229741,0.49437634408026043,0.7110721875588488,0.00757495400011976,61.35380015100509,52
20260815-162434,full_s42_fixed_epochs5_pat2_measure,6,0.68,0.0001,0.5,fixed (paper CL default),1.442255438232422,1.8538439516266503,0.04569999873638153,0.2600000202655792,0.005265528957477732,0.68,False,359289984,2515029888,0.6386857142857142,True,64,"{""fc"": 32, ""layer4_1_conv2"": 32}",64,1.4907217291693087e-06,"{""fc"": 1.4907217291693087e-06, ""layer4_1_conv2"": 1.037881361298787e-06}",33.55530575243756,34.12031203554943,0.49582562892234766,0.7100523720667635,0.012574157000017294,60.547907553999266,48
