controller,acc_mean,acc_std,forget_mean_mean,forget_mean_std,forget_max_mean,forget_max_std,aulc_mean,aulc_std,comm_cum_mean,comm_cum_std
baseline,0.6267333333333333,0.012706428819040098,0.050166667749484334,0.003121433313015548,0.2700000007947286,0.08717798461399792,0.615652380952381,0.009358073381576236,2515029888.0,0.0
sft,0.6267333333333333,0.012706428819040098,0.050166667749484334,0.003121433313015548,0.2700000007947286,0.08717798461399792,0.615652380952381,0.009358073381576236,2515029888.0,0.0
v4,0.6162,0.008465813605318713,0.06706666449705753,0.010027127079611824,0.30999998251597083,0.0360555031664624,0.6147285714285715,0.00714915436700496,2515029888.0,0.0
