round,learned_phi_accuracy,learned_phi_forgetting_mean,learned_phi_forgetting_max,learned_phi_aulc,learned_phi_divergence,learned_phi_beta_hat,learned_phi_rho_hat,learned_phi_basis_rank,learned_phi_measurement_overhead_seconds,shrinkage_accuracy,shrinkage_forgetting_mean,shrinkage_forgetting_max,shrinkage_aulc,shrinkage_divergence,shrinkage_beta_hat,shrinkage_rho_hat,shrinkage_basis_rank,shrinkage_measurement_overhead_seconds,prior_projection_accuracy,prior_projection_forgetting_mean,prior_projection_forgetting_max,prior_projection_aulc,prior_projection_divergence,prior_projection_beta_hat,prior_projection_rho_hat,prior_projection_basis_rank,prior_projection_measurement_overhead_seconds,learned_phi_minus_shrinkage_accuracy,prior_repeatability_absolute_difference_accuracy,difference_exceeds_observed_repeatability_accuracy,learned_phi_minus_shrinkage_forgetting_mean,prior_repeatability_absolute_difference_forgetting_mean,difference_exceeds_observed_repeatability_forgetting_mean,learned_phi_minus_shrinkage_forgetting_max,prior_repeatability_absolute_difference_forgetting_max,difference_exceeds_observed_repeatability_forgetting_max,learned_phi_minus_shrinkage_aulc,prior_repeatability_absolute_difference_aulc,difference_exceeds_observed_repeatability_aulc,learned_phi_minus_shrinkage_divergence,prior_repeatability_absolute_difference_divergence,difference_exceeds_observed_repeatability_divergence,learned_phi_minus_shrinkage_beta_hat,prior_repeatability_absolute_difference_beta_hat,difference_exceeds_observed_repeatability_beta_hat,learned_phi_minus_shrinkage_rho_hat,prior_repeatability_absolute_difference_rho_hat,difference_exceeds_observed_repeatability_rho_hat,learned_phi_minus_shrinkage_basis_rank,prior_repeatability_absolute_difference_basis_rank,difference_exceeds_observed_repeatability_basis_rank,learned_phi_minus_shrinkage_measurement_overhead_seconds,prior_repeatability_absolute_difference_measurement_overhead_seconds,difference_exceeds_observed_repeatability_measurement_overhead_seconds
0,0.2352,0.0074999998323619,0.3700000047683716,0.2352,0.0345379572914484,,,0,11.579101923000508,0.2355,0.0074999998323619,0.3700000047683716,0.2355,0.0345273042396638,,,0,11.479023964998303,0.2352,0.0074999998323619,0.3700000047683716,0.2352,0.0345379572914484,,,0,10.31296009700145,-0.0002999999999999947,0.0,True,0.0,0.0,False,0.0,0.0,False,-0.0002999999999999947,0.0,True,1.065305178460374e-05,0.0,True,,,False,,,False,0,0,False,0.10007795800220443,1.266141825999057,False
1,0.3336,0.0085000004619359,0.199999988079071,0.2844,0.2126805496034725,0.722144764919644,0.5271197540221338,64,59.98232706700128,0.3397,0.0093999998643994,0.2299999594688415,0.2875999999999999,0.2110846107573666,0.7200719088601606,0.5290823103637451,64,59.9114838729929,0.3336,0.0085000004619359,0.199999988079071,0.2844,0.2126805496034725,0.722144764919644,0.5271197540221338,64,52.70248371800517,-0.006099999999999994,0.0,True,-0.0008999994024635003,0.0,True,-0.029999971389770508,0.0,True,-0.003199999999999925,0.0,True,0.0015959388461058988,0.0,True,0.0020728560594833745,0.0,True,-0.0019625563416112435,0.0,True,0,0,False,0.07084319400837558,7.27984334899611,False
2,0.3989,0.0092000011354684,0.199999988079071,0.3225666666666666,0.0949350429416012,0.6577145641791661,0.5850516522674155,64,60.13006406799832,0.4045,0.0113999983295798,0.2299999594688415,0.3265666666666666,0.0942817937666814,0.6560067633356175,0.5865093662205075,64,59.99558407300265,0.3989,0.0092000011354684,0.199999988079071,0.3225666666666666,0.0949350429416012,0.6577145641791661,0.5850516522674155,64,52.76643302800403,-0.005600000000000049,0.0,True,-0.002199997194111401,0.0,True,-0.029999971389770508,0.0,True,-0.0040000000000000036,0.0,True,0.0006532491749197955,0.0,True,0.0017078008435486014,0.0,True,-0.0014577139530920213,0.0,True,0,0,False,0.13447999499567231,7.363631039994289,False
3,0.4526,0.0156999994069337,0.3100000023841858,0.355075,0.0795603053932138,0.6217276913025126,0.6150384611530292,64,59.963916040002005,0.4578,0.0176999997347593,0.3299999833106994,0.359375,0.0790871997815052,0.6208453381011444,0.6157553588064455,64,60.11192979199586,0.4526,0.0156999994069337,0.3100000023841858,0.355075,0.0795603053932138,0.6217276913025126,0.6150384611530292,64,52.82773389900194,-0.005199999999999982,0.0,True,-0.0020000003278255983,0.0,True,-0.019999980926513616,0.0,True,-0.004300000000000026,0.0,True,0.0004731056117086019,0.0,True,0.0008823532013682023,0.0,True,-0.0007168976534163152,0.0,True,0,0,False,-0.14801375199385802,7.136182141000063,False
4,0.4728,0.0255999993532896,0.3599999547004699,0.37862,0.0821888584126551,0.6244103632558687,0.6128536829816151,64,60.100593959001344,0.4775,0.0277999993413686,0.3700000047683716,0.383,0.081858286277874,0.624563573839902,0.6127286725460925,64,60.097470963997694,0.4728,0.0255999993532896,0.3599999547004699,0.37862,0.0821888584126551,0.6244103632558687,0.6128536829816151,64,52.80066006899506,-0.004699999999999982,0.0,True,-0.002199999988078998,0.0,True,-0.010000050067901667,0.0,True,-0.004379999999999995,0.0,True,0.00033057213478109027,0.0,True,-0.00015321058403328092,0.0,True,0.00012501043552259894,0.0,True,0,0,False,0.0031229950036504306,7.299933890006287,False
5,0.4947,0.0300999991595745,0.3299999833106994,0.3979666666666666,0.083565096609414,0.630187027214318,0.6081224981742419,64,60.20270909200235,0.4984,0.0340999998152256,0.3500000238418579,0.4022333333333334,0.0835761447304858,0.630629122013941,0.6077588979077623,64,60.1019247130007,0.4947,0.0300999991595745,0.3299999833106994,0.3979666666666666,0.083565096609414,0.630187027214318,0.6081224981742419,64,52.80946458500421,-0.0037000000000000366,0.0,True,-0.0040000006556510995,0.0,True,-0.020000040531158503,0.0,True,-0.004266666666666807,0.0,True,-1.1048121071804973e-05,0.0,True,-0.0004420947996229829,0.0,True,0.0003636002664796356,0.0,True,0,0,False,0.10078437900165227,7.393244506998144,False
6,0.5196,0.0294000003486871,0.3299999833106994,0.4153428571428571,0.0833245742190606,0.6334787666982793,0.6054099712605661,64,60.24661408400152,0.5219,0.0313999988138675,0.3299999833106994,0.4193285714285714,0.0833263541077383,0.633843111125611,0.6051089892526699,64,60.13626133800153,0.5196,0.0294000003486871,0.3299999833106994,0.4153428571428571,0.0833245742190606,0.6334787666982793,0.6054099712605661,64,53.00328016199546,-0.0023000000000000798,0.0,True,-0.0019999984651804005,0.0,True,0.0,0.0,False,-0.003985714285714259,0.0,True,-1.7798886776942968e-06,0.0,True,-0.0003643444273316865,0.0,True,0.0003009820078961889,0.0,True,0,0,False,0.11035274599998957,7.243333922006059,False
