row_type,method,final_accuracy,final_forgetting_mean,final_forgetting_max,final_aulc,final_divergence,final_beta_hat,final_rho_hat,average_update_energy_retention,average_measurement_overhead_seconds
method,learned_phi,0.5196,0.0294000003486871,0.3299999833106994,0.4153428571428571,0.0833245742190606,0.6334787666982793,0.6054099712605661,0.8887003983363557,53.17218946185819
method,shrinkage,0.5219,0.0313999988138675,0.3299999833106994,0.4193285714285714,0.0833263541077383,0.633843111125611,0.6051089892526699,0.8882911212265184,53.119096959712806
difference,learned_phi_minus_shrinkage,-0.0023000000000000798,-0.0019999984651804005,0.0,-0.003985714285714259,-1.7798886776942968e-06,-0.0003643444273316865,0.0003009820078961889,0.0004092771098372916,0.053092502145382525
