run_id,tag,round,client,epoch,epochs_total,lr,replay_ratio,cl_batch,cl_batch_size,train_loss,train_acc,val_loss,val_acc
20251015-122621,controller_v2,0,2,20,20,0.0001,0.5,1,5242,0.037,100.0,1.4312,65.1
20251015-122621,controller_v2,0,3,1,20,0.0001,0.5,1,5242,4.2554,14.29,3.9756,19.22
20251015-122621,controller_v2,0,3,2,20,0.0001,0.5,1,5242,3.4309,38.4,3.2453,31.48
20251015-122621,controller_v2,0,3,3,20,0.0001,0.5,1,5242,2.7736,50.59,2.7636,42.48
20251015-122621,controller_v2,0,3,4,20,0.0001,0.5,1,5242,2.2366,62.86,2.4565,49.32
20251015-122621,controller_v2,0,3,5,20,0.0001,0.5,1,5242,1.789,71.07,2.2197,53.88
20251015-122621,controller_v2,0,3,6,20,0.0001,0.5,1,5242,1.4264,78.98,2.0365,57.82
20251015-122621,controller_v2,0,3,7,20,0.0001,0.5,1,5242,1.1235,85.08,1.8878,59.7
20251015-122621,controller_v2,0,3,8,20,0.0001,0.5,1,5242,0.8761,89.81,1.783,60.62
20251015-122621,controller_v2,0,3,9,20,0.0001,0.5,1,5242,0.6645,93.21,1.7171,61.7
20251015-122621,controller_v2,0,3,10,20,0.0001,0.5,1,5242,0.5001,96.15,1.6395,62.34
20251015-122621,controller_v2,0,3,11,20,0.0001,0.5,1,5242,0.3666,97.88,1.5796,63.68
20251015-122621,controller_v2,0,3,12,20,0.0001,0.5,1,5242,0.2659,98.77,1.5537,63.3
20251015-122621,controller_v2,0,3,13,20,0.0001,0.5,1,5242,0.1879,99.44,1.5261,63.7
20251015-122621,controller_v2,0,3,14,20,0.0001,0.5,1,5242,0.141,99.73,1.5077,63.64
20251015-122621,controller_v2,0,3,15,20,0.0001,0.5,1,5242,0.1067,99.9,1.5022,64.26
20251015-122621,controller_v2,0,3,16,20,0.0001,0.5,1,5242,0.0825,99.94,1.4918,63.56
20251015-122621,controller_v2,0,3,17,20,0.0001,0.5,1,5242,0.0635,99.95,1.4771,64.32
20251015-122621,controller_v2,0,3,18,20,0.0001,0.5,1,5242,0.0516,99.95,1.4753,64.1
20251015-122621,controller_v2,0,3,19,20,0.0001,0.5,1,5242,0.0443,99.95,1.4592,64.58
20251015-122621,controller_v2,0,3,20,20,0.0001,0.5,1,5242,0.0362,99.97,1.4577,64.42
20251015-122621,controller_v2,1,0,1,20,0.001,0.2,2,1001,1.4842,63.5,3.9545,24.02
