run_id,tag,round,global_acc,lr,replay_ratio,notes,global_loss,ema_loss,forget_mean,forget_max,divergence,best_acc_so_far,was_rollback,comm_bytes_round,comm_bytes_cum,aulc_running
20260222-124620,full_s43_fixed_epochs5_pat2,0,0.5936,0.0001,0.5,fixed (paper CL default),2.2153434051513674,3.9344485202026362,0.0,0.0,0.002482546094037366,0.5936,False,359289984,359289984,0.5936
20260222-124620,full_s43_fixed_epochs5_pat2,1,0.6084,0.0001,0.5,fixed (paper CL default),1.9830565309524537,3.3490309234275815,0.021399999037384987,0.2600000202655792,0.002718198182983007,0.6084,False,359289984,718579968,0.601
20260222-124620,full_s43_fixed_epochs5_pat2,2,0.6269,0.0001,0.5,fixed (paper CL default),1.798072357749939,2.8837433537242885,0.03550000116229057,0.6399999856948853,0.13070240595785138,0.6269,False,359289984,1077869952,0.6096333333333334
20260222-124620,full_s43_fixed_epochs5_pat2,3,0.6445,0.0001,0.5,fixed (paper CL default),1.697399640083313,2.5278402396319954,0.041600000113248825,0.6100000143051147,0.005012038901423263,0.6445,False,359289984,1437159936,0.61835
20260222-124620,full_s43_fixed_epochs5_pat2,4,0.6614,0.0001,0.5,fixed (paper CL default),1.609493458557129,2.2523362053095353,0.041499994695186615,0.320000022649765,0.006619363024650418,0.6614,False,359289984,1796449920,0.62696
20260222-124620,full_s43_fixed_epochs5_pat2,5,0.6688,0.0001,0.5,fixed (paper CL default),1.516925975227356,2.0317131362848815,0.04960000142455101,0.3100000321865082,0.012333937440158512,0.6688,False,359289984,2155739904,0.6339333333333333
20260222-124620,full_s43_fixed_epochs5_pat2,6,0.6828,0.0001,0.5,fixed (paper CL default),1.464467862510681,1.8615395541526212,0.04920000582933426,0.36000001430511475,0.011206135006822986,0.6828,False,359289984,2515029888,0.6409142857142858
