round,client,layer,shrinkage_factor,raw_update_energy_sum,retained_update_energy_sum,retained_energy_fraction,projected_step_count,source_file,source_sha256,derivation
0,0,layer4_1_conv2,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,0,fc,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,1,layer4_1_conv2,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,1,fc,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,2,layer4_1_conv2,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,2,fc,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,3,layer4_1_conv2,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
0,3,fc,1.0,0.0,0.0,1.0,0,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,0,layer4_1_conv2,0.949649545340808,0.11317397677339561,0.1020641694776709,0.9018342589660033,10,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,0,fc,0.3621556549114053,0.004220683345919899,0.0005535709769901587,0.13115671838430887,10,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,1,layer4_1_conv2,0.9493198824150432,0.1312490410637105,0.11828271718695721,0.9012082391485114,10,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,1,fc,0.3765599485428503,0.004828731573069964,0.000684701557474817,0.14179739484659407,10,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,2,layer4_1_conv2,0.9506547720513243,0.1652348560746752,0.1493300916627042,0.9037444956239554,12,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,2,fc,0.35677717606326786,0.004606276597768857,0.0005863327332917834,0.12728995335968002,12,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,3,layer4_1_conv2,0.9478966303321283,0.2495459425263098,0.2242190311662843,0.8985080217950037,16,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
1,3,fc,0.3620755256231488,0.008406432825721899,0.001102072299545398,0.1310986862552795,16,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,0,layer4_1_conv2,0.9536019748148297,0.2535152100026601,0.2305357614532104,0.9093567263707429,15,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,0,fc,0.3346719854942625,0.0124123499845148,0.001390249453834258,0.11200533787467186,15,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,1,layer4_1_conv2,0.9568340930071614,0.3171235118061296,0.290336558595299,0.9155314815408372,15,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
2,1,fc,0.3557415347517921,0.0135770644410505,0.0017182051960836,0.1265520395475605,15,fcl_run_update_energy_steps_20260823-184507_full_s43_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal.csv,61c95330b3c507dac8bdb55b3dc947496c342ba7345fa97baa983580ef7815d6,sqrt(sum(projected_update_energy)/sum(raw_update_energy))
