lambda,final_accuracy,final_forgetting,final_aulc,final_divergence,final_beta_hat,final_rho_hat,average_measurement_overhead_seconds
0.0,0.528,0.0379000008106231,0.4286,0.0767620785875517,0.6373776375991671,0.6021813368087985,48.31030382157149
0.25,0.5264,0.0355000011622905,0.4258285714285715,0.0787864338938399,0.6356281465653474,0.6036322170284247,46.729783858000054
0.5,0.5249,0.033900000154972,0.4219857142857143,0.0806411776379716,0.6344054605571854,0.6046441428169245,46.76458545628547
0.75,0.5196,0.0294000003486871,0.4153428571428571,0.0833245742190606,0.6334787666982793,0.6054099712605661,46.74614507971533
1.0,0.5064,0.0265999976545572,0.4114714285714286,0.0921150070702207,0.6060724283048671,0.6276364964652165,48.67846777728479
