lambda,round,accuracy,forgetting,aulc,divergence,beta_hat,rho_hat,subspace_rank,measurement_overhead_seconds,source_file
0.5,6,0.5249,0.033900000154972,0.4219857142857143,0.0806411776379716,0.6344054605571854,0.6046441428169245,64,52.989652182997816,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda050/seed42/fcl_run_summary_20260823-130753_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda050.csv
0.75,0,0.2352,0.0074999998323619,0.2352,0.0345379572914484,,,0,10.31296009700145,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,1,0.3336,0.0085000004619359,0.2844,0.2126805496034725,0.722144764919644,0.5271197540221338,64,52.70248371800517,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,2,0.3989,0.0092000011354684,0.3225666666666666,0.0949350429416012,0.6577145641791661,0.5850516522674155,64,52.76643302800403,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,3,0.4526,0.0156999994069337,0.355075,0.0795603053932138,0.6217276913025126,0.6150384611530292,64,52.82773389900194,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,4,0.4728,0.0255999993532896,0.37862,0.0821888584126551,0.6244103632558687,0.6128536829816151,64,52.80066006899506,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,5,0.4947,0.0300999991595745,0.3979666666666666,0.083565096609414,0.630187027214318,0.6081224981742419,64,52.80946458500421,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
0.75,6,0.5196,0.0294000003486871,0.4153428571428571,0.0833245742190606,0.6334787666982793,0.6054099712605661,64,53.00328016199546,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda075/seed42/fcl_run_summary_20260823-123041_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075.csv
1.0,0,0.2352,0.0074999998323619,0.2352,0.0345379572914484,,,0,10.390834956003118,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,1,0.3372,0.0105999996885657,0.2862,0.1798037410249999,0.6935794519713143,0.5535526605741182,64,66.36314242799608,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,2,0.3962,0.0119000002741813,0.3228666666666667,0.0910472640019767,0.6628427798600484,0.5806524090537734,64,52.75614243000064,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,3,0.4474,0.0157000012695789,0.354,0.0897100312379648,0.6315352496714174,0.6070129737728688,64,52.75218665899638,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,4,0.4687,0.0208999998867511,0.37694,0.095793641868289,0.6204364801825091,0.6160872663977806,64,52.78461359200219,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,5,0.4892,0.0231000017374753,0.39565,0.0892975983667232,0.6274362242057075,0.6103800257170047,64,52.791831546996946,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
1.0,6,0.5064,0.0265999976545572,0.4114714285714286,0.0921150070702207,0.6060724283048671,0.6276364964652165,64,52.91052282899818,experiments/results/cifar100/lmss_geo/stage1_fixed_lambda/dirichlet_a01/lambda100/seed42/fcl_run_summary_20260823-114444_full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda1.csv
