protocol,protocol_label,valid_signal_rounds,beta_hat_min,beta_hat_max,beta_hat_mean,beta_hat_std_population,beta_hat_range,beta_hat_mean_abs_round_change,beta_hat_max_abs_round_change,beta_meaningful_round_variation,rho_hat_min,rho_hat_max,rho_hat_mean,rho_hat_std_population,rho_hat_range,final_accuracy,average_measurement_overhead_seconds
equal,Equal,6,0.4873911185593994,0.4996630068291864,0.49467213195839993,0.0036800403556558406,0.012271888269786979,0.005801312466285713,0.012271888269786979,False,0.7073450312052832,0.7159670952219722,0.7108594718882966,0.0025844280373233408,0.008622064016688968,0.68,50.86370658585783
dirichlet_alpha_0.5,Dirichlet α=0.5,6,0.5737335718898359,0.6468511179077635,0.5952326506348519,0.02581405877764858,0.07311754601792764,0.016337895669160198,0.038262831170181255,True,0.5942633104039275,0.652890824035812,0.6358767709361928,0.02069013167928806,0.058627513631884454,0.6231,49.28822349114231
dirichlet_alpha_0.1,Dirichlet α=0.1,6,0.6149790053437659,0.7151993715904403,0.6448797319594674,0.033187312848674516,0.10022036624667441,0.024523799700415117,0.06710337329722205,True,0.5336671513308258,0.6205006000450223,0.5952194949203616,0.028879420134082897,0.08683344871419652,0.528,48.31030382157149
