round,step_layer_count,raw_update_energy_sum,projected_update_energy_sum,removed_displacement_energy_sum,removed_energy_sum,raw_update_norm,projected_update_norm,removed_displacement_norm,retained_norm_fraction,retained_energy_fraction,removed_energy_fraction,run_id,tag,update_control,projection_lambda
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
1,106,0.6946245475410251,0.6120831695388915,0.04952482938824687,0.08254137800213357,0.8334413881857711,0.782357443588857,0.222541747517734,0.938707214063231,0.8811712337343526,0.11882876626564742,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
2,108,0.9751627458026633,0.8616351666787523,0.06811655254568905,0.11352757912391098,0.9875032890085295,0.9282430536657693,0.2609914798335169,0.9399898349682881,0.8835808898437095,0.11641911015629051,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
3,108,0.8425204785889946,0.7484087214543251,0.05646705848630518,0.09411175713466946,0.917889142864755,0.8651061908542356,0.23762798338222957,0.942495286690305,0.8882973654334403,0.11170263456655971,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
4,108,0.7208876932854764,0.6428926721710013,0.046797013565083034,0.0779950211144751,0.8490510545812168,0.8018058818510883,0.21632617401757706,0.9443553217733984,0.8918069737617389,0.10819302623826113,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
5,108,0.6337844322551973,0.5668998600049235,0.04013074886461254,0.06688457225027378,0.7961057921251404,0.7529275263960825,0.20032660548367642,0.9457631559069593,0.8944679470710913,0.10553205292890862,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
6,108,0.5727392867847811,0.513660617703863,0.03544720582431182,0.05907866908091819,0.7567954061599351,0.7167012053177132,0.1882742834916968,0.9470210832202797,0.8968489320637119,0.10315106793628816,20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,projection,0.75
