run_id,tag,raw_update_norm,raw_update_energy,projected_update_norm,projected_update_energy,removed_displacement_norm,removed_displacement_energy,removed_energy,retained_norm_fraction,retained_energy_fraction,layer,basis_rank,projection_lambda,shrinkage_factor,round,client,epoch,batch,local_optimizer_step,update_control
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.0538039096378902,0.002894860692322254,0.05198954268462961,0.002702912548556924,0.010731681785413267,0.00011516899394337088,0.00019194814376533031,0.966278157749658,0.9336934781440728,layer4_1_conv2,32,0.75,,1,0,1,1,96,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.008280343251249513,6.856408435851336e-05,0.005058436370002263,2.558777850936167e-05,0.005077970340785307,2.578578278189525e-05,4.2976305849151686e-05,0.6108969418917433,0.37319507361268406,fc,32,0.75,,1,0,1,1,96,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.07035257270443533,0.00494948448613286,0.06718323702373426,0.004513587336987257,0.016172148901179385,0.00026153840008191764,0.0004358971491456032,0.9549506782926609,0.9119307979716128,layer4_1_conv2,32,0.75,,1,0,1,2,97,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.011311133822927387,0.00012794174836017191,0.005631298819073574,3.171152638969943e-05,0.007598560730739086,5.7738125178730115e-05,9.623022197047248e-05,0.49785449515760044,0.2478590983486293,fc,32,0.75,,1,0,1,2,97,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.08666633276156757,0.00751105323433876,0.08227073248742489,0.006768473424017429,0.021107999196491613,0.0004455476300790906,0.000742579810321331,0.9492813398919779,0.901135062267109,layer4_1_conv2,32,0.75,,1,0,1,3,98,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.014095000288224293,0.00019866903312504292,0.006244210534107869,3.899016519426368e-05,0.009788121448268983,9.58073214860633e-05,0.00015967886793077923,0.44300889722752346,0.19625688302274644,fc,32,0.75,,1,0,1,3,98,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.0987178417096402,0.009745212271809578,0.09357008956560299,0.008755361661314964,0.02437028297455057,0.0005939106922596693,0.0009898506104946136,0.9478538827947804,0.8984269831291413,layer4_1_conv2,32,0.75,,1,0,1,4,99,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.016381097143032035,0.00026834034360945225,0.006831812891488727,4.667366738431156e-05,0.011532562338593805,0.00013299999409355223,0.0002216666762251407,0.417054659516182,0.1739345890241585,fc,32,0.75,,1,0,1,4,99,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.10959583366040511,0.012011246755719185,0.10386439713843436,0.010787812992930412,0.027093534390098706,0.0007340596057474613,0.0012234337627887726,0.9477038831628377,0.8981426501619216,layer4_1_conv2,32,0.75,,1,0,2,1,100,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.018386554320069998,0.0003380653797648847,0.007361594836736505,5.419307854026556e-05,0.013050800226635054,0.00017032338655553758,0.00028387230122461915,0.40037925043415523,0.160303544178216,fc,32,0.75,,1,0,2,1,100,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.11842615836953825,0.014024754986166954,0.1123088172485,0.012613270431756973,0.02910139912681037,0.0008468914311379194,0.0014114845544099808,0.9483446798810308,0.8993576318586548,layer4_1_conv2,32,0.75,,1,0,2,2,101,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02003453001040989,0.00040138239273801446,0.0077979760280975745,6.080843013478443e-05,0.014294907043265352,0.00020434436737559736,0.00034057396260323003,0.38922680113013713,0.15149750271799936,fc,32,0.75,,1,0,2,2,101,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.12473796410063806,0.015559559687972069,0.11839845361586776,0.014018193818628788,0.030410849862527827,0.0009248197893612087,0.0015413658693432808,0.9491773773086788,0.9009376935945819,layer4_1_conv2,32,0.75,,1,0,2,3,102,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.021371246918593247,0.0004567301948554814,0.008173549058695372,6.680690421489999e-05,0.015295554690884493,0.00023395399330183864,0.0003899232906405814,0.3824554126312716,0.14627214265095617,fc,32,0.75,,1,0,2,3,102,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.12941664021023597,0.016748666763305664,0.12290908273506627,0.015106642618775368,0.03138814136008618,0.0009852154180407524,0.0016420241445302963,0.9497162230096668,0.9019609042477473,layer4_1_conv2,32,0.75,,1,0,2,4,103,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02236664977794698,0.0005002670222893357,0.008389088696786642,7.03768091625534e-05,0.016060326721666168,0.00025793409440666437,0.00042989021312678233,0.3750713128730659,0.1406784897403253,fc,32,0.75,,1,0,2,4,103,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.13218302777798582,0.01747235283255577,0.1256442306991723,0.01578647270798683,0.03180453281486787,0.0010115283075720072,0.0016858801245689392,0.9505322491946843,0.9035115567591055,layer4_1_conv2,32,0.75,,1,0,3,1,104,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02313113901529251,0.0005350495921447873,0.008604368272860432,7.403515337500721e-05,0.0166315551115008,0.00027660862542688847,0.0004610144387697801,0.37198203975912697,0.13837063790336074,fc,32,0.75,,1,0,3,1,104,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.13276297683786425,0.01762600801885128,0.1263382030895126,0.015961341559886932,0.031603794163508524,0.0009987998055294156,0.0016646664589643478,0.9516071882284031,0.9055562406879674,layer4_1_conv2,32,0.75,,1,0,3,2,105,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.023650924927896895,0.0005593662499450147,0.008783539056344717,7.715055835433304e-05,0.017009685060299574,0.00028932938585057855,0.00048221569159068167,0.37138247587029033,0.1379249433835468,fc,32,0.75,,1,0,3,2,105,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.13265271953831823,0.017596744000911713,0.1264149188026889,0.015980731695890427,0.031138526758246913,0.0009696078486740589,0.001616012305021286,0.952976457947193,0.9081641294015781,layer4_1_conv2,32,0.75,,1,0,3,3,106,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.023986556753058757,0.0005753549048677087,0.00892042588314466,7.957399793667719e-05,0.01724727613196583,0.00029746853397227824,0.0004957809069310315,0.3718927220351096,0.13830419670268324,fc,32,0.75,,1,0,3,3,106,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.13083424967497556,0.01711760088801384,0.12487008376844792,0.015592537820339203,0.030249592981218418,0.0009150378755293787,0.0015250630676746368,0.9544143378255763,0.9109067282470336,layer4_1_conv2,32,0.75,,1,0,3,4,107,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02415007441028688,0.0005832260940223932,0.008986645892923919,8.075980440480635e-05,0.0173631727920037,0.00030147976940497756,0.0005024662896175869,0.37211669580181495,0.1384708352944605,fc,32,0.75,,1,0,3,4,107,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.136062470628843,0.018512995913624763,0.12966214702009837,0.016812272369861603,0.03194421568200649,0.0010204329155385494,0.0017007235437631607,0.9529604042969079,0.908133532157726,layer4_1_conv2,32,0.75,,2,0,1,1,108,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02518615440702359,0.0006343423738144338,0.009214668728028197,8.491011976730078e-05,0.018156523607725593,0.00032965934951789677,0.000549432254047133,0.3658624726551557,0.13385534889734452,fc,32,0.75,,2,0,1,1,108,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.14064842929637708,0.01978198066353798,0.13394070127598087,0.017940111458301544,0.0332433653061381,0.001105121336877346,0.001841869205236435,0.9523085465372559,0.9068915678079013,layer4_1_conv2,32,0.75,,2,0,1,2,109,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02596398081148236,0.0006741282995790243,0.009381622655002118,8.8014843640849e-05,0.018752815859671198,0.00035166810266673565,0.0005861134559381753,0.36133221338898736,0.1305609684325847,fc,32,0.75,,2,0,1,2,109,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.14437143408099595,0.020843110978603363,0.13744585965395173,0.018891364336013794,0.034220567166729096,0.0011710472172126174,0.001951746642589569,0.9520294684947245,0.9063601088823474,layer4_1_conv2,32,0.75,,2,0,1,3,110,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.02646520177134497,0.000700406904798001,0.009524242982689026,9.071120439330116e-05,0.019126353429354065,0.00036581739550456405,0.0006096957004046999,0.35987796597875704,0.1295121503970074,fc,32,0.75,,2,0,1,3,110,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.1462576828674782,0.021391309797763824,0.13931637745660003,0.019409053027629852,0.034487001808496766,0.0011893532937392592,0.001982256770133972,0.9525405758194079,0.9073335485823691,layer4_1_conv2,32,0.75,,2,0,1,4,111,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.026833776903422854,0.0007200515829026699,0.009635507721057236,9.28430090425536e-05,0.01939910126176351,0.00037632512976415455,0.0006272085738601163,0.35908130844704733,0.1289393860760435,fc,32,0.75,,2,0,1,4,111,projection
20260823-161257,full_s42_fixed_epochs5_pat2_dirichlet_a01_lambda075_energycal,0.14653038573869503,0.02147115394473076,0.13968275222134388,0.01951127126812935,0.03429183782580523,0.0011759301414713264,0.00195988267660141,0.9532681669891839,0.9087201981949189,layer4_1_conv2,32,0.75,,2,0,2,1,112,projection
